"Year","Authors"
2018,"Teeken, B ; Olaosebikan, Olamide Deborah ; Haleegoah, J ; Oladejo, E ; Madu, T ; Bello, A. ; Parkes, E ; Egesi, C.N. ; Kulakow, P. A. ; Kirscht, H ; Tufan, H."
2021,"Adu, GB ; Badu-Apraku, B ; Akromah, R. ; Amegbor, IK ; Adogoba, DS ; Haruna, A ; Manigben, KA ; Aboyadana, PA ; Wiredu, AN"
2012,"Williams, R ; Borges, LF ; Lacoste, M ; Andersen, R ; Nesbitt, H ; Johansen, C"
2014,"Joshi, K. D. ; Khanal, NP ; Harris, D ; Khanal, NN ; Sapkota, A ; Khadka, K ; Darai, R ; Neupane, RK ; Joshi, M ; Witcombe, J.R."
2021,"Belay, BF ; Wale, MF"
2020,"Assefa, A. ; Bezabih, A ; Germay, G ; Alemayehu, T ; Lkaw, A"
2021,"Teeken, B ; Garner, E ; Agbona, A ; Balogun, I ; Olaosebikan, Olamide Deborah ; Bello, A. ; Madu, T ; Okoye, B ; Egesi, C.N. ; Kulakow, P. A. ; Tufan, H."
2008,"Adjei-Nsiah, S ; Kuyper, TW ; Leeuwis, C ; Abekoe, MK ; Cobbinah, J ; Sakyi-Dawson, O ; Giller, KE"
2014,"Manzanilla, DO ; Paris, T ; Tatlonghari, GT ; Tobias, AM ; Chi, TTN ; Phuong, NT ; Siliphouthone, I ; Chamarerk, V ; Bhekasut, P ; Gandasoemita, R"
2012,"Trouche, G ; Lancon, J ; Acuna, SA ; Briones, BC ; Thomas, G"
2022,"Balogun, I ; Garner, E ; Amer, P ; Fennessy, P ; Teeken, B ; Olaosebikan, Olamide Deborah ; Abolore, B ; Madu, T ; Okoye, B ; Santos, B ; Byrne, T.J. ; Martin-Collado, D ; Egesi, C.N. ; Kulakow, P. A. ; Tufan, H."
2017,"Yue, Chengyan ; Wang, JJ ; Watkins, E ; Bonos, SA ; Nelson, KC ; Murphy, JA ; Meyer, WA ; Horgan, BP"
2020,"Worku, M ; De Groote, H ; Munyua, B ; Makumbi, D ; Owino, F ; Crossa, J ; Beyene, Y ; Mugo, S ; Jumbo, M ; Asea, G ; Mutinda, C ; Kwemoi, DB ; Woyengo, V ; Olsen, MS ; Prasanna, BM"
2008,"Paris, T ; Singh, AK ; Cueno, AD ; Singh, VN"
2005,"Virk ; Chakraborty, M ; Ghosh, J ; Prasad, SC ; Witcombe, J.R."
2017,"Dibi, KEB ; Essis, BS ; N'zue, B ; Kouakou, AM ; Zohouri, GP ; Assouan, AB ; Van Mourik, T"
2021,"Yohane, EN ; Shimelis, H ; Laing, M... ; Shayanowako, A ; Mathew, I ; Chintu, JM"
2021,"Dida, MM ; Oduori, CA ; Manthi, SJ ; Avosa, MO ; Mikwa, EO ; Ojulong, H. ; Odeny, DA"
2017,"Joshi, K. D. ; Rehman, A. ; Ullah, G ; Nazir, MF ; Zahara, M ; Akhtar, J ; Khan, M ; Baloch, A ; Khokhar, J ; Ellahi, E ; Khan, A ; Suleman, M ; Imtiaz, M"
2020,"Sarangi, SK ; Singh, S. ; Maji, B ; Sharma, PC ; Srivastava, AK ; Burman, D ; Mandal, S ; Krishnamurthy, SL ; Singh, US ; Ismail, A.M."
